geography_type,geography_name,total_returns,returns_with_eitc,returns_with_ctc,total_federal_eitc,total_state_eitc,total_ctc,avg_federal_eitc_per_claim,avg_state_eitc_per_claim,avg_ctc_per_claim,eitc_participation_rate,ctc_participation_rate,county_name,district_number
house_district,House District 34,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,34.0
house_district,House District 35,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,35.0
house_district,House District 36,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,36.0
house_district,House District 37,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,37.0
house_district,House District 38,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,38.0
house_district,House District 39,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,39.0
house_district,House District 40,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,40.0
house_district,House District 41,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,41.0
house_district,House District 42,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,42.0
house_district,House District 43,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,43.0
house_district,House District 44,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,44.0
house_district,House District 45,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,45.0
house_district,House District 46,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,46.0
house_district,House District 47,58350,3551,10503,15806164.563962352,7765568.650274703,3321929.5311118974,4451.19,2186.8681076526905,316.28,6.085689802913453,18.0,,47.0
house_district,House District 48,38900,2367,7002,10537443.042641569,5177045.766849803,2214619.687407932,4451.81,2187.176073869794,316.28,6.084832904884319,18.0,,48.0
house_district,House District 49,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,49.0
house_district,House District 50,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,50.0
house_district,House District 51,19450,1184,3501,5268721.521320784,2588522.8834249014,1107309.843703966,4449.93,2186.2524353250856,316.28,6.087403598971722,18.0,,51.0
senate_district,Senate District 1,68581,4173,12345,25417256.80569531,12487498.268638106,3081727.0144832563,6090.88,2992.4510588636726,249.63,6.084775666729852,18.00061241451714,,1.0
